name,page
Abas,40
Abbas Shah,40
Abbo,40
Abbo Neustriae,40
Abbot,40
Abdalrahman,40
Abdalrahman,40
Abelard,40
Abnezra,40
Abibalbus,40
Abijah,40
Abrabinel,40
Abu Bekr,40
Abucaras,40
Abulfeda,40
Abulghazi,41
Abul Pharai,41
Abusaid,41
Abu Temam,41
Abydenus,41
Acca,41
Accius,41
Accursius,41
Achilles Tatius,41
Achillini ,41
Achmet,41
Acron,41
Acropolita G,41
Aquarius J,41
Acusilaus,41
Adado'dawla,41
Addison,41
Ado,41
Adrian,41
Adrian 4th ,41
Aegialeus,41
Aedidius,41
Aelian,41
Aemilian,41
Aemilius,41
Aeneas,41
Aeneas Gazaeus,41
Aeneas Sylvius,41
Aeolus ,41
Aeschines,41
Aeschines,41
Aeschylus,41
Aesculapius,41
Aesop,42
Aesopus,42
Aetius,42
Aetius Amidenus,42
Afer Domitius,42
Afranius,42
Africanus Julius,42
Agamemnon,42
Agathemer,42
Agathias,42
Agathocles,42
Agesilaus,42
Agiluf the Goth,42
Agis,42
Agobard,42
Agricola,42
Agricola George,42
Agricola Rodolphus,42
Agrippa,42
Agrippa Byth,42
Agrippa Cornelius,42
Agrippa Vipsenius,42
Agrippina Junior,42
Ahab,42
Ahaz,42
Ahmed,42
Aidan,42
Ailli,42
Aimoin,42
Akbar,42
Akiba,42
Alain,42
Alakis,42
Alamund,43
Alanus de Insulis,43
Alaric the Goth,43
Alban St.,43
Albani,43
Albategni,43
Albert,43
Albertet,43
Alberoni Card.,43
Alberti Leo Baptista,43
Albertus Magnus,43
Albinus,43
Alboinus the Lombard,43
Albucasis,43
Albumazar,43
Albuquerque,43
Alchabitius,43
Alciat,43
Alcibiades,43
Alcimus Avitus,43
Alcaeus,43
Alcman,43
Alcuinus,43
Aldhelm,43
Aldrovandus,43
Alexander,43
Alexander Severus,43
Alexander Aphrodisiensis,43
Alexander 6th,43
Alexander [Ab] Alexandro,43
Alexander Tralliensis,43
Alexius Comnenus,43
Alfenus Varus,43
Alfragani,44
Alfred,44
Ali,44
Alimentus L. C.,44
Al Kamel,44
Alliacus,44
Almaeon,44
Almamon,44
Al Manfur,44
Al Mochtar,44
Alonzo 6th of Castile,44
Alonzo the great of Castile,44
Alphonsus of Arragon,44
Alphonsus Henriques of Portugal,44
Alredus,44
Alva (John Duke of),44
Amafis,44
Amaziah,44
Ambrose,44
Ambrosius,44
Ambrosius Autpertus,44
Amenophis,44
Amir Yahia,44
Ammianus Marcellinus,44
Ammon,44
Ammonius ,44
Ammonius Grammaticus,44
Ammonius Hermaeaei filius,44
Amos,44
Amosis,44
Ampelius,44
Amphictyon,44
Amru Ebn Al As,44
Anarcharsis,45
Anacreon,45
Anatolius,45
Anastasius,45
Anastasius Alexandrinus,45
Anastasius Bibliotheca,45
Anaxagoras Claz.,45
Anaxarchus,45
Anaximander,45
Anaximenes,45
Andocides,45
Andrea del Sarto ,45
Andreas Cretenfis,45
Andreas J,45
Andriscus,45
Andronicus Rhodius,45
Angelo M,45
Angriani,45
Anianus Alex,45
Anien,45
Annibal Caro,45
Anniceris,45
Annius of Viterbo,45
Anselm,45
Anson,45
Anthony Marc ,45
Anthony of Padua,45
Antigonus,45
Antigonus Carystius,45
Antigonus Dofon,45
Antinous,45
Antiochus,45
Antipater,46
Antipater L. Coelius,46
Antipater Tarsensis,46
Antiphon,46
Antisthenes,46
Antonius Pius,46
Antonius M. Sen.,46
Antonius Liberalis,46
Antonius Monachus,46
Antonius Melissa,46
Antonius Mufa,46
Apelles,46
Aphthonius,46
Apicius,46
Apollinaris Sidonius,46
Apollinaris Senior,46
Apollodorus,46
Atheniernsis,46
Apollonius Dyscolus,46
Apollonius Pergamensis,46
Apollonius Rhodius,46
Apollonius Rhodius,46
Apollonius Tyaneus,46
Appian ,46
Appion,46
Appius Cl. Decemvir,46
Apries ,46
Apsines,46
Apuleius,46
Aquila,46
Aquina Th.,46
Arator,46
Aratus,47
Aratus,47
Arbogastes,47
Arbuthnot,47
Arcadius,47
Arcesilaus,47
Archagathus,47
Archilaus,47
Archias,47
Archilochus,47
Archimedes,47
Archytas,47
Arechis of Benevento,47
Aredius,47
Arete,47
Aretaeus Cappadox,47
Aretine L,47
Aretine Peter,47
Argyropylus,47
Arion,47
Ariosto,47
Aristarchus,47
Aristarchus of Samos,47
Aristaenetus,47
Aristenes Alexius,47
Aristides,47
Aristides,47
Aeiius,47
Aeiius of Thebes,47
Aristippus,47
Aristo Coeus,47
Aristobulus Alexandrinus,47
Aristodemus,47
Aristomenes,48
Aristophanes,48
Arsitophanes Byzantinus,48
Aristotle,48
Aristyllus,48
Arius,48
Arminius,48
Arminius,48
Arnaud de Mereuil,48
Arnaud de Villa nova,48
Arnobius,48
Arnobius Junior,48
Arnold of Brescia,48
Arnulph,48
Arrian,48
Arfaces,48
Artabanus,48
Artaxerxes,48
Artemidorus,48
Artemidorus Ephefius,48
Artemius,48
Artemones,48
Athenion,48
Arthur,48
Arviragus,48
Arundel Th.,48
Arzachel,48
Asa,48
Asaph St.,48
Asce,48
"Ascham, Roger",48
Asclepiades,48
Asclepiodorus,48
Ascepliodotus,49
Asconius Pediaaus,49
Ashari,49
"Ashmole, Edward",49
Asinius Gallus,49
Asinius Pollio,49
Asmai,49
"Asser, John",49
Astrampfychus,49
Astulphus,49
Astyages,49
Athaliah,49
Athanaric (the Goth),49
Athanasius,49
Athaulphus,49
Athelstan,49
Athenagoras,49
Athenseus Naucrates,49
Athenion,49
Atkins,49
Attalus Rhodius,49
Atterbury,49
Atticus,49
Attila the Hun,49
Averroes,49
Augustulus,49
Augustus,49
Augustus of Poland,49
Avicenna,49
Avienus (Rufus. Eestus),49
Avitus,49
Aungerville,49
Aurelian,49
Aurelius,49
Aurengzebe,50
Ausonius,50
Austin,50
Austin the Monk,50
Autharis the Lombard,50
Autolycus,50
Azophi,50
Bacchylides,50
"Bacon, Francis",50
"Bacon, Roger",50
Baconthorp,50
Bajazet,50
"Baldwin, Emperor",50
Balsamon,50
Barbarini,50
Barbarossa,50
Barchochab,50
Barclay R.,50
Barlaam Calaber,50
Barnes J,50
Barneveldt ,50
Baronius,50
Barrow,50
Bartholin,50
Bartolus,50
Barwick J,50
Basil,50
Basilides,50
Basilius Seleuciae,50
Basnage,51
Bassano Senior,51
Batecumb G,51
Battus,51
Bayer,51
Bayle,51
Baxter,51
Becanus J,51
Becket,51
Bede ,51
Bedel,51
Bedford (Duke of),51
Belifarius,51
Bellarmine,51
Bellini Giovanni,51
Bembo,51
Benedict,51
Benhadad,51
Bentley,51
Berengarius,51
Berenger,51
Berkley,51
Bernard,51
Bernardini,51
Bernini,51
Bernoulli,51
Berosus,51
Bertram,51
Bessarion,51
Betterton,51
Beza,51
Bias,51
Biddle,51
Bion,52
Bion Boristhenites,52
Black Prince,52
Blake,52
Blastares M.,52
Blondus Flavius,52
Boadicea,52
Boccace,52
Bocchoris,52
Bochart,52
Bodinus,52
Boehmen Jacob,52
Boerhaave,52
Boethius,52
Boethius Hector,52
Boileau,52
Boleflaus of Poland,52
Boilingbroke,52
Bonaventura,52
Booth,52
Borelli,52
Borgia Caesar,52
Boscawen,52
Bossuet,52
Bracton,52
Bradwardin,52
Brasidas,52
Bravonius,52
Brennus,52
"Breton, John",52
Briggs,52
Brissonius,52
Britannicus,53
Brito,53
Bruneleschi Philippo,53
Bruno Coloniensis,53
Bruno Infuber,53
Bruno Jordano,53
Brutus Junius,53
Brutus Marcus,53
Bucer,53
Bucharian,53
Buckingham,53
Budeus,53
Bupalus,53
Burchardus,53
Burleigh,53
Burnet,53
Burrhus,53
Busbequius,53
Buteo,53
Butler,53
Butler,53
Buxtorf Senior,53
"Cabot, Sebastian",53
"Cabot, Cadmus",53
"Cabot, Milesius",53
Caecilius,53
Caerleon Ludovicus,53
"Caesalpinus, Andreas",53
Caesar Julius,53
Cajetan,54
Caius,54
Caius J,54
Calamy,54
"Caleca, Manuel",54
Caligula,54
Calippus,54
Calisthenes,54
Callimachus,54
Callinicus,54
Callistratus,54
"Calpurnius, Julius",54
Calvin,54
Camanusali,54
Camden,54
Camerarius,54
Camillus,54
Camoens,54
Campanus,54
"Cantacuzenus, John",54
Cantemer,54
Canute,54
"Capella, Marcianus",54
Capellus,54
"Capito, Ateius",54
"Capitolinus, Julius",54
Caracalla,54
Caractacus,54
Caranus,54
Carausius,54
Cardan,54
Carlos of Navarre,54
Carneaedes,55
"Carracci, Annibal",55
Carrario of Venice,55
"Caruncanius, Tiberius",55
Carus Ma,55
Casaubon J,55
Casimer 3rd of Poland,55
Cassander,55
Cassianus,55
Cassini,55
Cassiodorus,55
Cassius,55
Cassius Sp.,55
Cassius Av.,55
Cassius Longinus,55
Castalio,55
Castruccio,55
Cataline,55
Cato Censor,55
Cato Uticensis,55
Cato Dionysius,55
Catullus,55
Catulus,55
Cave,55
Caxton,55
Cebes,55
Cecrops,55
Cedrenus,55
Celsus Cornelius,55
Celsus ,55
Cepheus,55
Cerda of Wessex,55
Ceres,56
Cerinthus,56
Cervantes,56
"Cerularius, Michael",56
Chabrias,56
Chalchondiles,56
Charlemaigne,56
Charles the Bald,56
Charles le Gros,56
Charles the 5th,56
Charles the 8th,56
Charles the 12th of Sweden,56
Charles Martel,56
Charmidas,56
Charondas,56
Charops,56
Chaucer,56
"Cheke, John",56
Cheops,56
Cheyne,56
Chicheley,56
Chiron,56
Chillingworth,56
Choeroboscus Georgius,56
Choricius,56
Chosroes the Great,56
Chosroes the 2nd,56
CHRIST,56
Chrysostom,56
Chrodogandus,56
Chrysippus,56
Chrysoloras,57
Chubb,57
Churchill,57
Chylo,57
Ciaconius,57
Cibber,57
Cicero,57
Cid (Roderigo),57
Cimabue,57
Cimon,57
Cincinnatus,57
Cinna,57
Cinnamus,57
Clarendon,57
Clarke,57
Claudian,57
Claudius,57
Clavius,57
Cleanthes,57
Clemens Alex,57
Clemens Romanus,57
Clement 5th,57
Clement 8th,57
Cleobulus,57
Cleomedes,57
Cleomenes,57
Cleopatra,57
Cleostratus,57
Clisthenes,57
Clitomachus,57
Clodius,57
Clotaire,57
Clotaire 2nd,57
Clovis,58
Codrus,58
Coelius Aurelian,58
"Coepio, Q. Servilius",58
"Cooke, Edward",58
Colbert,58
Coligni,58
Coliatus (Petrus Apollonius),58
"Collins, Antony",58
Columba,58
Columbanus,58
Columbus,58
Columella,58
Coluthus,58
"Comestor, Peter",58
Commandine,58
Commines P,58
Commodianus,58
Comnena An.,58
Conde,58
Conde,58
Consusius,58
Congreve,58
Conon,58
Conon of Samos,58
Conrad of Montserat,58
Conrad of Naples,58
Conradin,58
Constantine the Great,58
Constantine Porphyrogenita,58
Constantine Harmenopylus,58
Constantius Chlorus,59
Copernicus,59
Corelli,59
Corinthus,59
Coriolanus,59
Cornaro,59
Corneille,59
Cornisicius,59
Correggio,59
Coreggio of Parma,59
Cortes,59
"Corvinus, Messala",59
"Corvus, Valerius",59
"Cosmas, Monachus",59
Cosmo de Medicis,59
"Cotes, Roger",59
"Cotton, Robert",59
Cowel,59
Cowley,59
Cranaus,59
Cranmer,59
Crantor,59
Crantzius,59
Crassus,59
Crassus L.,59
Craterus,59
Crates,59
Crates Mallotes,59
Crates Thebanus,59
Cratinus,59
Cratippus,59
Crellius,59
Creon,59
Crescentius,60
Cresconius,60
Crida of Mercia,60
Critias,60
Crito,60
Crito,60
Critolaus Phaselites,60
Croesus,60
"Cromwel, Oliver",60
"Cromwel, Thomas",60
Crunnus,60
Ctesias,60
Ctesibius,60
Ctesibius Alex,60
Cudworth,60
Cujacius,60
Curio,60
"Curtius, Quintus",60
"Cusanus, Nicolas",60
Cuspinian,60
Cydias,60
Cyprian,60
Cyril of Alex,60
Cyrus,60
Cyrus Junior,60
"Dacier, Madam",61
Daedalus,61
Damascenus John,61
Damascius,61
Damasus,61
"Damiani, Peter",61
Danaus,61
Dandolo of Venice,61
Daniel,61
Dante,61
Datari,61
Datames,61
David,61
David de Pomis,61
Davila,61
Decius,61
Decius Mus,61
"Dee, John",61
Demades,61
Demetrius Phalereus,61
Demetrius Phalereus Junior,61
Demetrius Poliorcetes,61
Democitus,61
De Moivre,61
Demosthenes,61
Denis of Portugal,61
Dentatus,61
Des Cartes,61
Deucalion,61
Dexippus,61
Diaconus P.,61
Diagoras,61
Dicaearchus,61
"Dictys, Cretensis",61
Dido,61
Didymus of Alex,62
Didymus of Scholiaft,62
"Digby, Kenelm",62
Dinarchus,62
Dinocrates,62
Dio Cassius,62
Diocles,62
Diodorus,62
Diodorus Siculus,62
Diogenes,62
Diogenes Bab.,62
Diogenes Laertius,62
Dion,62
Dion Prusaeus,62
Dionysius Senior,62
Dionysius Junior,62
Dionysius Alex,62
Dionysius ,62
Dionysius Exiguus,62
Dionysius Halicarnassensis,62
Dionysius Heracleotes,62
Dionysius the Monk,62
Dionysius Perigetes,62
Diophantus,62
Dioscorides,62
Diotimus,62
Dobson,62
Doddridge,62
"Dodwell, Henry",62
Dolon,62
Dominic,62
Dominichino,62
Domitian,63
"Danatus, Aelius",63
Danatus,63
Doreidi,63
Doria,63
Dorus,63
Dositheus,63
Draco,63
Dracontius,63
Drake,63
Drusius,63
Drusus,63
Dryden,63
"Dudley, Duke of Northumberland",63
Du Fresne,63
"Dugdale, William",63
"Duglas, Gawin",63
Duilius,63
Dunstan,63
Dupin,63
Durandus,63
"Durer, Albert",63
Eadmerus,63
Echard,63
Edgar,63
Edgar Atheling,63
Edward Confessor,63
Edward Martyr,63
Edward 1st of England,64
Edward 3rd of England,64
"Edwin, of Kent",64
Egbert,64
Egidius,64
Eginhart,64
"Elias, Levita",64
Elijah,64
Elishah,64
Ella,64
Elzevir L,64
Emanuel of Portugal,64
Empedocles,64
Ennius,64
Ennodius,64
Epaminondas,64
Ephorus,64
"Ephrem, Syrus",64
Epicharmus,64
Epicterus,64
Epicurus,64
Epimenides,64
Epiphanius,64
Epiphanius Scholasticus,64
Episcopius,64
Erasistratus,64
Erasmus,64
Eratosthenes,64
Erectheus,64
Erigena J.,64
Erotianus,64
Esahaddon,64
Essahani al Kateb,64
Essex E. of,65
Estwood J,65
Ethelbert of Kent,65
Etmuller,65
Evagrius,65
Evander,65
Eubulides,65
Euclid,65
Euclid of Megara,65
Euctemon,65
"Eudes, Count",65
Eudosia,65
Eudoxus,65
Evelyn,65
Eugene,65
Eugenius,65
Eugenius 4th,65
Eulogius,65
Eumenes,65
Eumenes,65
Eumolpus,65
Eunapius,65
Eunamius,65
Euphorbus,65
Euphorion of Chalcis,65
Euphranor,65
Eupolis,65
Eupompus,65
Euric of Castile,65
Euripedes,65
Eusebius of Nicomedeas,65
Eusebius Pamphilius,65
Eustathius,65
Euthymius,66
Eutropius,66
Eutyches,66
Eutychius of Alex,66
"Eyk, John",66
Ezekiel,66
Ezra,66
"Faber, James",66
Fabius Maximus,66
Fabius Pictor,66
Fabricius,66
Fabricius,66
Fabrot,66
Facundus,66
Falconia Proba,66
Falkland Ld.,66
Fallopius,66
Farabi Al.,66
Fastolf,66
Favonius,66
Favorinus,66
Faustina,66
Fenelon,66
"Ferdinand, of Castile",66
"Ferdinand, of Spain",66
Fernellius,66
Festus Sex. Pom.,66
"Ficinus, Marsilius",66
"Fielding, Henry",67
Fimbria,67
Fingal,67
Firmicus Maternus,67
Firmilian,67
Fitzherbert,67
Flamininus,67
Flamstead,67
Flavio,67
Flavius,67
Fleury,67
Florus Lucius,67
Folkes Martin,67
Fortescue,67
Foster,67
"Fox, George",67
"Fox, John",67
Fracastorius,67
Francis 1st,67
Francis St,67
Francis Mayronis,67
Franciscus Pedemontanus,67
Franco,67
Fredegaire,67
"Frederic, of Germany",67
"Frederic, 2nd",67
"Frederic, 3rd",67
Freinshemius,67
Fresnoy,67
Friend J.,67
Frobenius,67
"Frobisher, Martin",67
Froissart,67
Frontinus,68
Fulgentius,68
"Fullo, Petrus",68
"Fust, John",68
Gaddo Gaddi,68
Gainas,68
Galba,68
"Galeazzo, of Milan",68
Galen,68
Galileo,68
Gallienus,68
Gallus El. Cornel,68
"Gama, Vasques de",68
Gamaliel,68
Gamaliel 4th,68
Gardiner,68
Gariopontus,68
Gascoigne,68
Gasper Barthius,68
Gassendi,68
Gataker,68
"Gaveston, Pierce",68
Gay,68
Geber,68
Gelasius,68
Gellius Aulus,68
Gelo,68
Geminiani,68
Geminus Rhodius,69
Gemisthus Pletho,69
Gennadius,69
"Genseric, the Visgoth",69
Geoffery of Monmouth,69
Geoffroy,69
Georgione,69
Germanicus,69
Germanus 1st,69
Germanus 2nd,69
Germanus of Paris,69
Gershom,69
Gerson J.,69
Gervase of Canterbury,69
"Gesner, Conrad",69
Ghirlandaio,69
Gibson,69
Gildas,69
Gilulfus,69
Giotto,69
Glaber,69
Glanville,69
Glauber,69
"Gloucester, Humphrey, D. of,",69
"Gloucester, Thomas, E. of,",69
Godeschalchus,69
Godfrey of Boloigne,69
Golius,69
Gonsalvo,69
Goodwin,69
Gordian Senior,69
Gordian Junior,69
Gorgias,69
"Gothofredus, Arnold",69
Gower J.,70
Gozan,70
"Gracchus, Cornelius",70
"Gracchus, Tiberius",70
"Gracchus, Sempron Senior",70
Graevius,70
Gratian,70
Gratian ,70
Gratius,70
Greaves J.,70
Gregoras Log.,70
Gregoras Nicephorus,70
Gregorius Palamas,70
Gregory,70
Gregory the Great,70
Gregory 7th,70
Gregory 9th,70
Gregory 13th,70
Gregory Cyprius,70
Gregory Nazianzen,70
Gregory Neocaesariensis,70
Gregory Nissenus,70
Gregory Thaumaturgus,70
Gregory of Tours,70
Grimoald of Lombardy,70
"Grocyn, William",70
Gronovius J.,70
Grostest,70
Grotius,70
Gruterus,70
"Gualtherus, Philip",70
Guarini,70
Guesclin,70
Guicciardin,71
Guido Rhene,71
Guiscard R.,71
Guise Junior,71
Gulielmus Avernus,71
Gulielmus Romanus,71
Gundebald of Burgundy,71
Gunter,71
Guntherus,71
Gurges Fabius,71
Gustavus Adolphus,71
Gustavus Vasa,71
Guttembugh J.,71
Guy D'Arezzo,71
Gylippus,71
Habakkuk,71
Haemus,71
Haggai,71
Haithem Al.,71
Haitonius,71
"Hakem, Al",71
"Hakem, Al",71
Hale M,71
Hales Alex,71
Hales Stephen,71
Hali Ben Rodoham,71
Hali Ebn Aabas,71
Halitgarius Camerocensis,71
Halley,71
Hambden,72
Hamilcar Barcas,72
Hanbal,72
Handel,72
Hannibal Senior,72
Hannibal Senior,72
Hanifa,72
Hanno,72
Hardouin,72
Hardwicke,72
Harley,72
Harmodius,72
"Harold, of Denmark",72
"Harold, of England",72
Haroun al Rashid,72
Haroun of Egypt ,72
Harpalus,72
Harpocratio,72
Harrington,72
Harriot,72
Hartamannus,72
Hartley,72
Harvey,72
"Hastings, Earl of Pembroke",72
"Hawkwood, John",72
Haymo,72
Hazael ,72
"Hearne, John",72
Hebatilla Abul Haram,72
Hegesias,72
Hegesinus,72
Hegesippus,72
Heliodorus,72
Hellion de Villa Nova,73
Hellanicus,73
Hellen,73
Helmondus,73
"Helmont, Van",73
"Helpidius, Rusticus",73
Hemoaldus,73
Hemskirk,73
Hengham,73
Hengist,73
Henry 1st of Germany,73
Henry 4th of Germany,73
Henry 4th of France,73
Henry 5th of England,73
Henry of Ghent,73
Henry of Huntingdon,73
Heraclitus,73
Heraclius,73
Herbelot,73
Herbert,73
Hercules,73
Hermachus,73
Hermannus,73
Hermas,73
Hermogenes Tarsensis,73
Hermogenes,73
Hermogenianus,73
Hermolaus,73
Hermolaus Barbarus,73
Herod the Great,73
Herodes Atticus,73
Herodian,73
Herodicus,73
Herodotus,74
Herring,74
Hesiod,74
Hesychius,74
Hiero,74
Hiero 2nd ,74
Hierocles,74
Hierocles,74
"Higden, Ran.",74
Hilary,74
Hildebertus de Lavardino,74
Hillel,74
Hillel 2nd,74
Hilliard,74
Himerius,74
Himilco,74
Hincmarus,74
Hipparchia,74
Hipparchus of Nice,74
Hippasus,74
Hippias,74
Hippocrates,74
Hipponax,74
Hiram,74
Hirtius,74
Histiaeus,74
Hoadley,74
Hobbs,74
"Hoffman, John Maurice",75
Hogarth,75
"Holbein, Hans",75
"Hollandus, Isaac",75
Hollar,75
Holt,75
Homberg,75
Homer,75
Honain,75
Honorius,75
Honorius Augustidunensis,75
Hooke,75
Hooker,75
Horace,75
Hormisdas 2nd,75
Horne,75
Horrox,75
Hortensius Qu,75
Hosea,75
Hosein,75
Hosius,75
"Hispital, de'l",75
Hottinger,75
Hottoman,75
"Howard, Edward",75
"Howard, Charles",75
"Howard, Thomas",75
Hubba,75
Hubert de Burgh,75
Hudson,75
Hugh Capet,75
Hugh White,75
Hulaku,76
Huge (Cardinal),76
Huldericus,76
Humenus,76
Huniades,76
"Hufs, John",76
"Hutcheson, Francis",76
"Hutchinson, John",76
Huygens,76
Hyllus,76
Hypatia,76
Hyperides,76
Hypolitus,76
Hypsicles,76
Hyrcanus,76
Jaafar Abu,76
Jacob Al Manfur,76
Jaddua,76
Jagatay,76
Jamblicus,76
Jansen c.,76
Jarchi,76
Jason,76
Jason,76
"Javolentus, Priscus",76
Idatius,76
Jeffrey of Beverley,76
Jehoahaz,77
Jehoiakim,77
Jehosaphat,77
Jehu,77
Jenghiz Khan,77
Jeremiah,77
Jeroboam,77
Jeroboam 2nd ,77
Jerom,77
Jerom of Prague,77
Jesus Sirac,77
Ignatius,77
Inaa of Wessex,77
Inachus,77
Inarus,77
Ingulphus of Croyland,77
Innocent 1st,77
Innocent 2nd,77
Innocent 3rd ,77
Joachim de Calaber,77
Joan D'Arc,77
Joannes Becanus,77
Joannes Hagastaldensis,77
Joannes Mauropus,77
Joannes de Rupescissa,77
Joannes Scholasticus,77
Joash of Israel,77
Joash of Judah,77
Joel,77
