ruler,startYear
Saul,-1090
David,-1055
Solomon,-1015
Rehoboam,-975
 ,-957.5
Asa,-952.5
Jehosaphat,-915
Jordan,-890
 ,-887.5
 ,-882.5
Joash,-880
Amaziah,-835
Uzziah,-810
Jotham,-760
Ahaz,-740
Hezekiah,-725
Menassey,-697.5
 ,-660
Josiah,-640
Jehoiakim,-610,
Nebuchadnezar,-602.5
Cyrus,-555
Cambyses,-530
Darius,-525
Xerxes,-485
Artaxerxes L,-465
 ,-425
Darius 2d,-422.5
Atraxerxes M,-405
Ochus,-355
 ,-335
Alexander,-332.5
Ptolemy Lag,-320
Philadelphus,-280
Euergetes,-245
Philopator,-220
Epiphanes,-205
Philometor,-175
Physcon,-140
Lathyrus,-115
Alexander,-105
 ,-85
Alexander 3d,-80
Auletes,-65
 ,-52.5
Cleopatra,-47.5
Augustus,-30
Tiberus,15
 ,40
Claudius,45
Nero,55
 ,69
Vespasian,70
Domitian,80
 ,95
Trajan,98
Adrian,120
Antoninus,140
Aurelius,165
Commodus,177.5
 ,192
Severus,195
Caracalla,210
 ,222
Alexander,225
 ,235
Gordian,237
 ,245
 ,248
 ,250
Gallienus,253
 ,262
Aurelian,267
 ,275
 ,280
Diocletian,282
Constantine,310
Constantius,340
 ,362
 ,365
Valens,370
Theodosius,375
Arcadius,395
Theodosius 2d,410
Marcianus,450
Leo 1st,460
Leo Jun,475
Anstasius,495
Justin,515
Justinian,525
Justin 2d,565
 ,577
Mauritius,580
Phocas,602
Heraclius,610
Constans 2d,640
Constantine 5,670
Justinian 2d,682
 ,695
Tiberius 2d,697
 ,705
 ,710
 ,712
 ,715
Leo 3d,718
Constantine 6th,740
Constantine 7th,780
 ,797
Nicephorus,802
Leo Arm,817
Michael 2d,820
Theophilus,827
Michael 3d,840
Basilius,865
Leo 6th,885
Constantine 9th,910
 ,960
 ,965
Zimisces,970
Constantine 10th,675
 ,1027
Michael 4th,1032
Michael 5th,1040
 ,1050
 ,1052
Constantine 12th,1055
William Conqr,1070
WmRusus,1085
Henry 1st,1100
Stephen,1135
Henry 2d,1155
Richard,1190
John,1200
Henry 3d,1215
Edward 1st,1275
Edward 2d,1310
Edward 3d,1325
Richard 2d,1380
Henry 4th,1400
Henry 5th,1415
Henry 6th,1423
Edward 4th,1460
Richard 3th,1487
Henry 7th,1490
Henry 8th,1510
Edward 6th,1545
Mary,1555
Elizabeth,1560
James 1st,1601
Charles 1st,1628
Charles 2d,1665
James 2d,1685
William 3d,1690
Ann,1702
George 1st,1715
George 2d,1730
George 3d,1760